alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.8582414984703064,-0.0015780339017510414,1.9486942291259766,253.31353759765625,-41.166603088378906,158.85110473632812,0.4980483949184418,90.42112731933594,63.68724060058594,110.59857177734375,63.770599365234375,0.20369869604473934,3,se3_log_map,0.6218929886817932,1.8102564811706543,-0.8294690251350403,-0.5610697865486145,298.9388122558594,159.41278076171875,9.52756404876709
-0.8574995398521423,-0.0023235406260937452,1.9478132724761963,253.40036010742188,-40.92194366455078,158.51559448242188,0.49843552708625793,90.73487854003906,63.6220817565918,110.81781768798828,63.706321716308594,0.14005812001414597,3,se3_log_map,0.6198023557662964,1.8093842267990112,-0.8288127779960632,-0.5601710081100464,298.81134033203125,159.10409545898438,9.242931365966797
-0.856886625289917,-0.0037643401883542538,1.945971131324768,253.88038635253906,-40.274444580078125,157.70021057128906,0.49653711915016174,90.94007873535156,63.697959899902344,111.0293960571289,63.78349685668945,0.1375114099937491,3,se3_log_map,0.6223654747009277,1.8073052167892456,-0.8282665014266968,-0.5590078830718994,298.7422180175781,158.54368591308594,8.157814025878906
-0.8570570945739746,-0.004894663114100695,1.9441759586334229,254.70208740234375,-39.632240295410156,157.28353881835938,0.49646270275115967,90.7808609008789,64.14776611328125,111.15800476074219,64.23412322998047,0.14159253402613103,3,se3_log_map,0.6231083869934082,1.8051451444625854,-0.828310489654541,-0.5586295127868652,299.1191101074219,158.4944305419922,7.038543224334717
-0.8577045202255249,-0.005683244671672583,1.9428199529647827,255.54495239257812,-39.10625457763672,157.22732543945312,0.4959293305873871,90.41171264648438,64.71214294433594,111.18425750732422,64.79875946044922,0.13986992102582008,3,se3_log_map,0.6242084503173828,1.8033719062805176,-0.8287973403930664,-0.5587410926818848,299.6819763183594,158.793701171875,6.131398677825928
-0.8583508133888245,-0.00606314092874527,1.942362904548645,256.1062927246094,-38.83546447753906,157.3988800048828,0.4930107891559601,90.07119750976562,65.14409637451172,111.16012573242188,65.23066711425781,0.14203255402389914,3,se3_log_map,0.626506507396698,1.802587628364563,-0.8294283151626587,-0.5589478611946106,300.16424560546875,159.17327880859375,5.6571044921875
-0.8581262826919556,-0.006457909010350704,1.94199538230896,256.2053527832031,-38.638160705566406,157.2151641845703,0.4919506907463074,90.16617584228516,65.14388275146484,111.23697662353516,65.23077392578125,0.16675720602506772,3,se3_log_map,0.6256886124610901,1.8021609783172607,-0.8292832374572754,-0.558549165725708,300.12261962890625,159.06605529785156,5.381100177764893
-0.8567421436309814,-0.006906086578965187,1.9409348964691162,255.9851531982422,-38.31890869140625,156.3766632080078,0.48945415019989014,90.83352661132812,64.74552154541016,111.54690551757812,64.83360290527344,0.14187143597519025,3,se3_log_map,0.626585066318512,1.8014565706253052,-0.8277890682220459,-0.5575748682022095,299.487548828125,158.32260131835938,4.988811016082764
-0.8555150628089905,-0.00674843043088913,1.9403516054153442,255.64389038085938,-38.231056213378906,156.007080078125,0.4867415130138397,91.44755554199219,64.36653900146484,111.82891845703125,64.45549011230469,0.13974041596520692,3,se3_log_map,0.6255183815956116,1.8013880252838135,-0.8263048529624939,-0.5571183562278748,298.9692077636719,157.9652557373047,5.101490497589111
-0.8547009229660034,-0.00599599489942193,1.94004225730896,255.4148406982422,-38.25890350341797,156.0493621826172,0.48779964447021484,91.8775634765625,64.16820526123047,112.06714630126953,64.25765991210938,0.14032315998338163,3,se3_log_map,0.6256168484687805,1.801682472229004,-0.8249920606613159,-0.5574014782905579,298.7149963378906,158.05882263183594,5.444334030151367
-0.854597806930542,-0.004911948926746845,1.9400908946990967,255.46820068359375,-38.26539611816406,156.38153076171875,0.492845356464386,91.9681396484375,64.24776458740234,112.18695831298828,64.33733367919922,0.1439931580098346,3,se3_log_map,0.6251084804534912,1.802211046218872,-0.8243120312690735,-0.558341920375824,298.8079833984375,158.56988525390625,5.674103736877441
-0.854314386844635,-0.003583169775083661,1.939780831336975,255.6437530517578,-38.1634521484375,156.53146362304688,0.49554914236068726,92.16053009033203,64.38572692871094,112.42369079589844,64.47574615478516,0.14260047604329884,3,se3_log_map,0.6262544393539429,1.8025723695755005,-0.8231773972511292,-0.5595118999481201,298.8815002441406,159.0374298095703,5.699793338775635
-0.8540467023849487,-0.0022051651030778885,1.9399493932724,255.70216369628906,-38.14222717285156,156.7218475341797,0.4972212314605713,92.35335540771484,64.4490966796875,112.6180648803711,64.5394058227539,0.13569950504461303,3,se3_log_map,0.6223341226577759,1.8033841848373413,-0.8222270607948303,-0.5605848431587219,298.9025573730469,159.48304748535156,5.8330841064453125
-0.8535162210464478,-0.00047636035014875233,1.9405030012130737,255.58262634277344,-38.30482482910156,157.03688049316406,0.4981388449668884,92.70010375976562,64.42789459228516,112.89049530029297,64.51854705810547,0.1380555719952099,3,se3_log_map,0.6236827373504639,1.8047754764556885,-0.8209922909736633,-0.5616964101791382,298.85845947265625,159.9517822265625,6.307727336883545
-0.8524042367935181,0.0012357834493741393,1.9411441087722778,255.20152282714844,-38.5206298828125,157.12716674804688,0.49935653805732727,93.34334564208984,64.16508483886719,113.27020263671875,64.25638580322266,0.1367607840220444,3,se3_log_map,0.6233510971069336,1.8064225912094116,-0.8192527890205383,-0.562389612197876,298.5143737792969,160.1095733642578,6.89851713180542
-0.8509288430213928,0.0026112529449164867,1.9416366815567017,254.68435668945312,-38.70800018310547,156.9811248779297,0.49993181228637695,94.15434265136719,63.745201110839844,113.70352172851562,63.83738708496094,0.13659928500419483,3,se3_log_map,0.625038206577301,1.807908058166504,-0.8172949552536011,-0.5625789165496826,297.9665832519531,159.9672088623047,7.444843292236328
-0.8495129346847534,0.003981451503932476,1.9422436952590942,254.20240783691406,-38.93175506591797,156.8980712890625,0.49801909923553467,94.94039916992188,63.379974365234375,114.152099609375,63.47306442260742,0.13398280000546947,3,se3_log_map,0.6236023902893066,1.8094744682312012,-0.8154419660568237,-0.5627668499946594,297.4900207519531,159.86688232421875,8.02479076385498
-0.8485748767852783,0.0052099465392529964,1.9424124956130981,254.10568237304688,-39.01148223876953,156.90225219726562,0.49696364998817444,95.48146057128906,63.32243728637695,114.57067108154297,63.4163818359375,0.13742992997867987,3,se3_log_map,0.6245387196540833,1.8104290962219238,-0.8139374852180481,-0.5632690191268921,297.3428039550781,159.9931182861328,8.306290626525879
-0.848110020160675,0.005932337138801813,1.9422863721847534,254.32296752929688,-38.885963439941406,156.78298950195312,0.4974229335784912,95.75645446777344,63.462158203125,114.87708282470703,63.55686569213867,0.2082099520484917,3,se3_log_map,0.6241163015365601,1.8107569217681885,-0.8130412101745605,-0.5636913776397705,297.3935546875,160.11148071289062,8.115204811096191
-0.8477697372436523,0.006402567028999329,1.9418258666992188,254.76666259765625,-38.60691833496094,156.495361328125,0.49837613105773926,95.95245361328125,63.73775100708008,115.1927719116211,63.83341598510742,0.13879108999390155,3,se3_log_map,0.6244990825653076,1.8106366395950317,-0.8122652173042297,-0.5640610456466675,297.5449523925781,160.16477966308594,7.57631778717041
